Name                                                                                              Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------------
config\__init__.py                                                                                    0      0   100%
config\asgi.py                                                                                        4      4     0%
config\settings.py                                                                                   26      0   100%
config\urls.py                                                                                        7      0   100%
config\wsgi.py                                                                                        4      4     0%
electronics_retail_chain\__init__.py                                                                  0      0   100%
electronics_retail_chain\admin.py                                                                    14      2    86%
electronics_retail_chain\apps.py                                                                      4      0   100%
electronics_retail_chain\migrations\0001_initial.py                                                   5      0   100%
electronics_retail_chain\migrations\0002_initial.py                                                   7      0   100%
electronics_retail_chain\migrations\0003_networklink_products_alter_networklink_house_number.py       4      0   100%
electronics_retail_chain\migrations\__init__.py                                                       0      0   100%
electronics_retail_chain\models.py                                                                   33      2    94%
electronics_retail_chain\pagination.py                                                                5      0   100%
electronics_retail_chain\serializers.py                                                              47      9    81%
electronics_retail_chain\tests.py                                                                    92      0   100%
electronics_retail_chain\urls.py                                                                      8      0   100%
electronics_retail_chain\views.py                                                                    40      1    98%
manage.py                                                                                            11      2    82%
users\__init__.py                                                                                     0      0   100%
users\admin.py                                                                                        6      0   100%
users\apps.py                                                                                         4      0   100%
users\management\__init__.py                                                                          0      0   100%
users\management\commands\csu.py                                                                     15     15     0%
users\management\commands\groups.py                                                                  11     11     0%
users\migrations\0001_initial.py                                                                      7      0   100%
users\migrations\__init__.py                                                                          0      0   100%
users\models.py                                                                                      13      1    92%
users\permissions.py                                                                                  8      0   100%
users\serializers.py                                                                                  6      0   100%
users\tests.py                                                                                        0      0   100%
users\urls.py                                                                                         9      0   100%
users\views.py                                                                                       21     11    48%
---------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                               411     62    85%
